,observationID,mediaID,filename,person,vehicles
0,1718266733014.0,1718266905336.0,1718266905336.jpg,1.0,1.0
1,1718266733014.0,1718266913377.0,1718266913377.jpg,0.0,2.0
2,1718266733014.0,1718266921444.0,1718266921444.jpg,0.0,0.0
3,1718267618450.0,1718267828875.0,1718267828875.jpg,3.0,1.0
4,1718267618450.0,1718267836964.0,1718267836964.jpg,0.0,0.0
5,1718267618450.0,1718267846577.0,1718267846577.jpg,0.0,0.0
6,1718268467154.0,1718268631834.0,1718268631834.jpg,0.0,0.0
7,1718268467154.0,1718268641760.0,1718268641760.jpg,0.0,4.0
8,1718268467154.0,1718268657255.0,1718268657255.jpg,0.0,3.0
9,1718269293446.0,1718269458566.0,1718269458566.jpg,7.0,1.0
10,1718269293446.0,1718269475036.0,1718269475036.jpg,9.0,0.0
11,1718269293446.0,1718269482704.0,1718269482704.jpg,5.0,0.0
12,1718270040934.0,1718270224155.0,1718270224155.jpg,1.0,3.0
13,1718270040934.0,1718270231787.0,1718270231787.jpg,1.0,0.0
14,1718270040934.0,1718270275148.0,1718270275148.jpg,0.0,0.0
15,1718270244840.0,1718270339733.0,1718270339733.jpg,0.0,0.0
16,1718270244840.0,1718270374436.0,1718270374436.jpg,0.0,0.0
17,1718270244840.0,1718270386180.0,1718270386180.jpg,0.0,7.0
18,1718271504316.0,1718271576552.0,1718271576552.jpg,5.0,0.0
